price,bathroom,coord,bhk,sqft,class
5.521460917862246,2.0,"(77.20889282226562, 28.523548126220703)",1.0,,0
5.1647859739235145,1.0,"(28.4958562, 77.18482540000002)",1.0,,0
6.240275845170769,1.0,"(77.24960327148438, 28.562599182128906)",1.0,,0
5.783825182329737,1.0,"(77.13461303710938, 28.74116325378418)",1.0,,0
6.516193076042964,1.0,"(77.22004699707031, 28.56388854980469)",1.0,,0
6.621405651764134,2.0,"(77.30213165283203, 28.628671646118164)",3.0,1600.0,0
7.101675971619444,3.0,"(77.29019927978516, 28.54513359069824)",3.0,2500.0,0
5.68697535633982,,"(77.0976053740202, 28.67505122306089)",1.0,,0
5.5134287461649825,2.0,"(28.6217542, 77.05581109999999)",2.0,675.0,0
5.572154032177765,2.0,"(28.6217542, 77.05581109999999)",2.0,850.0,0
5.3612921657094255,1.0,"(28.622920500000006, 77.3086902)",2.0,55.0,1
7.313886831633462,3.0,"(77.23796844482422, 28.53972816467285)",3.0,,0
7.719573989259581,,"(77.15175500000002, 28.532116)",4.0,1550.0,0
7.313886831633462,3.0,"(77.25489807128906, 28.543664932250977)",3.0,1800.0,0
5.616771097666572,1.0,"(77.1346130371094, 28.741163253784197)",1.0,,0
4.867534450455582,1.0,"(28.595593800000003, 77.0031863)",2.0,50.0,0
6.4967749901858625,3.0,"(77.07371520996094, 28.638242721557607)",3.0,1125.0,0
5.572154032177765,1.0,"(28.638643800000004, 77.07206)",1.0,,0
5.703782474656201,1.0,"(77.03326416015621, 28.6193161010742)",2.0,1100.0,0
6.5337888379333435,1.0,"(77.2512588500977, 28.5837917327881)",2.0,900.0,0
5.521460917862246,1.0,"(77.29749298095703, 28.592716217041016)",2.0,600.0,0
6.214608098422191,2.0,"(28.5849492, 77.05828439999998)",2.0,760.0,0
7.226936018493289,,"(77.15098640000002, 28.700154700000002)",3.0,1350.0,0
5.41610040220442,1.0,"(28.7018804, 77.12271640000002)",1.0,,1
5.991464547107982,,"(77.134687, 28.73653071707961)",2.0,900.0,0
5.926926025970411,2.0,"(28.6250403, 77.09360410000002)",2.0,100.0,0
6.775366090936392,2.0,"(77.24182891845703, 28.534725189208984)",2.0,200.0,0
6.439350371100098,1.0,"(77.20889282226562, 28.523548126220703)",,,0
6.98100574072173,,"(77.1494911318021, 28.5265735632272)",3.0,1600.0,0
6.90875477931522,2.0,"(77.14955139160156, 28.52431869506836)",3.0,1600.0,0
4.143134726391533,1.0,"(28.4916399, 77.31603630000002)",1.0,,0
5.703782474656201,1.0,"(28.4958562, 77.18482540000002)",1.0,,0
6.1092475827643655,2.0,"(28.4958562, 77.18482540000002)",3.0,1000.0,0
7.3938782901077555,3.0,"(28.5478897, 77.2031247)",3.0,2700.0,1
6.439350371100098,2.0,"(77.04772186279297, 28.57697105407715)",2.0,900.0,0
6.516193076042964,,"(77.0586873218946, 28.5594890752106)",3.0,1739.0,0
5.41610040220442,1.0,"(77.29749298095703, 28.592716217041016)",2.0,550.0,0
6.775366090936392,2.0,"(77.20820617675781, 28.536296844482425)",1.0,,0
6.587550014824796,2.0,"(28.5342332, 77.2094473)",2.0,1125.0,1
6.439350371100098,2.0,"(28.4958562, 77.18482540000002)",3.0,1000.0,0
6.309918278226516,2.0,"(28.5254842, 77.14332490000002)",2.0,650.0,1
7.537430036586509,3.0,"(28.54482, 77.22830079999999)",3.0,2300.0,1
7.313886831633462,3.0,"(28.542767, 77.20674269999998)",3.0,1800.0,1
5.616771097666572,1.0,"(28.6279488, 77.2786205)",2.0,65.0,1
5.616771097666572,2.0,"(28.7018804, 77.12271640000002)",2.0,55.0,1
6.023447592961033,2.0,"(77.29544067382812, 28.605365753173828)",2.0,700.0,0
4.927253685157205,1.0,"(28.5448686, 77.1281345)",1.0,,1
5.521460917862246,1.0,"(77.13461303710938, 28.74116325378418)",1.0,,0
7.468513271496337,3.0,"(77.21442413330078, 28.54358673095703)",3.0,2000.0,0
6.775366090936392,,"(77.0637851148019, 28.5918632060399)",3.0,1600.0,0
6.920671504248683,3.0,"(77.20806121826172, 28.53437805175781)",3.0,1126.0,0
5.472270673671475,2.0,"(28.6090126, 76.9854526)",3.0,100.0,0
5.521460917862246,1.0,"(28.6169481, 77.04241390000001)",2.0,55.0,0
5.472270673671475,1.0,"(28.522097100000003, 77.21015340000002)",1.0,,1
5.41610040220442,1.0,"(28.638643800000004, 77.07206)",1.0,,0
5.703782474656201,1.0,"(77.29544067382812, 28.605365753173828)",2.0,600.0,0
6.214608098422191,1.0,"(28.6518267, 77.1644665)",1.0,,1
7.226936018493289,,"(77.2009124199753, 28.542597999999998)",3.0,1500.0,0
6.439350371100098,2.0,"(28.6712458, 77.3176541)",3.0,200.0,1
6.439350371100098,2.0,"(77.14173126220703, 28.711339950561523)",2.0,850.0,0
6.775366090936392,2.0,"(77.24923706054688, 28.537872314453125)",2.0,,0
6.052089168924417,1.0,"(77.20368957519531, 28.557674407958984)",1.0,,0
6.137727054086234,2.0,"(28.650218, 77.30270589999998)",2.0,1600.0,1
7.719573989259581,4.0,"(28.5372066, 77.20118570000002)",4.0,450.0,1
7.313886831633462,3.0,"(77.20889282226562, 28.523548126220703)",3.0,250.0,0
6.957497370876951,,"(77.20148561374171, 28.5204481863143)",2.0,1300.0,0
4.8283137373023015,1.0,"(28.7004534, 77.25919379999998)",1.0,,1
6.398594934535208,2.0,"(28.651027000000006, 77.1562196)",3.0,950.0,1
5.0106352940962555,1.0,"(77.29749298095703, 28.592716217041016)",1.0,,0
4.927253685157205,1.0,"(77.29749298095703, 28.592716217041016)",1.0,,0
6.324358962381311,,"(77.044187, 28.584202898792896)",2.0,1200.0,0
7.468513271496337,2.0,"(28.537867100000003, 77.1454007)",3.0,2000.0,1
6.1092475827643655,3.0,"(28.5849492, 77.05828439999998)",3.0,1320.0,0
5.857933154483459,1.0,"(77.14403533935547, 28.70074844360352)",1.0,,0
6.933423025730715,2.0,"(77.19900512695312, 28.54878234863281)",2.0,1000.0,0
6.716594773520978,,"(77.06247445332599, 28.5831769305404)",3.0,1800.0,0
7.226936018493289,3.0,"(77.20816040039062, 28.5344181060791)",3.0,1800.0,0
5.298317366548036,2.0,"(28.6209963, 77.00182509999998)",2.0,50.0,0
5.991464547107982,2.0,"(77.21614837646484, 28.53260040283203)",2.0,750.0,0
6.052089168924417,1.0,"(77.13431549072266, 28.64933586120605)",1.0,,0
6.439350371100098,2.0,"(28.5397842, 77.24897259999999)",2.0,126.0,1
5.926926025970411,1.0,"(28.5421788, 77.2567012)",2.0,600.0,1
6.85751406254539,,"(77.3008419125549, 28.5853760153873)",3.0,1510.0,0
5.991464547107982,3.0,"(77.20889282226562, 28.523548126220703)",3.0,1600.0,0
6.214608098422191,2.0,"(77.26956176757812, 28.635967254638672)",3.0,1000.0,0
7.468513271496337,3.0,"(28.5583464, 77.25308290000002)",3.0,200.0,1
6.45833828334479,2.0,"(77.30240631103516, 28.632408142089844)",3.0,1400.0,0
6.466144724237619,3.0,"(77.30498504638672, 28.63465118408203)",3.0,1550.0,0
6.398594934535208,2.0,"(77.24215698242188, 28.575746536254893)",2.0,900.0,0
7.026426808699636,,"(77.246954, 28.553136572511)",3.0,1100.0,0
5.521460917862246,1.0,"(28.5399515, 77.25915789999998)",1.0,,1
5.926926025970411,1.0,"(28.5399515, 77.25915789999998)",1.0,,1
6.214608098422191,2.0,"(28.5399515, 77.25915789999998)",2.0,901.0,1
6.775366090936392,2.0,"(28.5399515, 77.25915789999998)",3.0,150.0,1
6.775366090936392,2.0,"(28.5399515, 77.25915789999998)",2.0,1081.0,1
6.85751406254539,2.0,"(28.529186600000006, 77.24843670000001)",3.0,1400.0,1
5.857933154483459,1.0,"(77.13461303710938, 28.74116325378418)",1.0,,0
7.226936018493289,3.0,"(28.5479558, 77.2009932)",3.0,1800.0,1
5.41610040220442,1.0,"(28.5354803, 77.2576512)",1.0,,1
6.90875477931522,2.0,"(77.24923706054688, 28.537872314453125)",2.0,1250.0,0
6.621405651764134,2.0,"(77.27643585205078, 28.64221000671387)",3.0,900.0,0
5.521460917862246,1.0,"(77.20889282226562, 28.523548126220703)",1.0,,0
7.313886831633462,3.0,"(28.5502164, 77.2397968)",3.0,1700.0,1
4.8283137373023015,1.0,"(28.6279488, 77.2786205)",2.0,400.0,1
