areas,bathrooms,bedrooms,r$_pmo,coord,class,class_distance
54.0,1.0,2.0,1000,"(-22.927310100000003, -43.3599944)",0.0,"[(40.55275230918499, (28.19501596988475, 30.301670663146922))]"
80.0,2.0,2.0,2300,"(-22.9662234, -43.382768799999994)",0.0,"[(31.92718061388498, (23.123351511887186, 22.818636139625884))]"
170.0,2.0,5.0,7000,"(-22.975583899999997, -43.193523600000006)",0.0,"[(58.35653063509501, (40.48735524943816, 43.69722629167224))]"
30.0,1.0,1.0,800,"(-22.9252812, -43.205473100000006)",0.0,"[(64.04415326191324, (44.35557390384308, 48.03923397815975))]"
56.0,1.0,1.0,1500,"(-22.9721962, -43.1865848)",0.0,"[(59.22185474420613, (41.175038565776816, 44.251525145266385))]"
39.0,1.0,1.0,1100,"(-22.9315642, -43.2425412)",0.0,"[(57.24367170473368, (39.79967193309951, 42.77339486901532))]"
60.0,1.0,2.0,1500,"(-22.9130407, -43.2205941)",0.0,"[(63.69004933200372, (43.23808851479277, 48.68591597401959))]"
85.0,4.0,3.0,1700,"(-23.0177482, -43.4667998)",0.0,"[(14.71273635607626, (10.229289330537455, 10.993593929617328))]"
89.0,2.0,3.0,3200,"(-22.9500463, -43.191054799999996)",0.0,"[(62.577628687320875, (44.52749473292774, 45.63727227925177))]"
70.0,2.0,2.0,2800,"(-22.9398205, -43.1962323)",0.0,"[(63.05506923010409, (44.011732245673755, 46.93063627097145))]"
50.0,1.0,2.0,850,"(-22.886248100000003, -43.306259399999995)",0.0,"[(54.27639714552503, (37.736621984083556, 40.556199454638715))]"
380.0,2.0,3.0,7000,"(-22.995434399999997, -43.25830379999999)",0.0,"[(46.858210747503385, (32.57899711154366, 35.013210918697204))]"
115.0,3.0,3.0,1900,"(-22.8049732, -43.219866107721046)",0.0,"[(79.99287220454472, (55.53042779434618, 59.864276188168304))]"
46.0,1.0,1.0,2200,"(-22.9548472, -43.3765899)",0.0,"[(34.371152677812084, (23.81103482822584, 25.77489669212802))]"
82.0,,2.0,3900,"(-22.94884465, -43.179829096252966)",0.0,"[(64.42644943155626, (43.92577183113142, 49.05544854308236))]"
75.0,1.0,2.0,1200,"(-22.9195247, -43.2615033)",0.0,"[(56.752492850432645, (39.88563234764184, 41.94194658862409))]"
89.0,2.0,2.0,1600,"(-23.014309, -43.45027260000001)",0.0,
60.0,1.0,2.0,1100,"(-22.9069987, -43.28477460000001)",0.0,"[(54.83363228841096, (37.90854281316822, 41.20288145049856))]"
300.0,,4.0,15000,"(-22.9805083, -43.213479299999996)",0.0,"[(55.95781721705208, (38.08046364225288, 42.681011726749624))]"
70.0,1.0,2.0,900,"(-12.8640352, -38.6313039734052)",0.0,
70.0,2.0,2.0,1400,"(-22.9145407, -43.2146439)",0.0,"[(63.67576739677212, (43.83981141658909, 48.03923397815975))]"
35.0,1.0,1.0,2000,"(-22.9548472, -43.3765899)",0.0,"[(34.371152677812084, (23.81103482822584, 25.77489669212802))]"
389.0,2.0,4.0,9500,"(-22.9766415, -43.188297)",0.0,"[(58.727829556514855, (41.003117736692154, 43.69722629167224))]"
214.0,2.0,4.0,12000,"(-22.9803652, -43.2139765)",0.0,"[(55.897345789287655, (37.994503227710545, 42.681011726749624))]"
95.0,2.0,3.0,4700,"(-22.9805083, -43.213479299999996)",0.0,"[(55.95781721705208, (38.08046364225288, 42.681011726749624))]"
75.0,1.0,2.0,1000,"(-22.8355116, -43.3182064)",0.0,"[(60.833651580002176, (42.80828644208111, 44.89820714112623))]"
78.0,1.0,2.0,1600,"(-23.018515100000002, -43.4634021)",0.0,"[(11.374552476966521, (7.908358137894503, 8.499249088443648))]"
300.0,5.0,4.0,18000,"(-22.9766415, -43.188297)",0.0,"[(58.727829556514855, (41.003117736692154, 43.69722629167224))]"
130.0,4.0,3.0,6000,"(-22.9862961, -43.209333)",0.0,"[(52.34554281628704, (37.90854281316822, 37.415172617605194))]"
130.0,2.0,3.0,7500,"(-22.9813398, -43.20901170000001)",0.0,"[(56.137615359069805, (38.424305300422205, 42.588628584483935))]"
70.0,2.0,2.0,1000,"(-22.856672800000002, -43.3293072)",0.0,"[(56.00730730506341, (38.94006778767619, 41.8495634463584))]"
68.0,2.0,2.0,3200,"(-22.97378125, -43.2264527152946)",0.0,"[(53.78881436659471, (37.994503227710545, 39.5399848897161))]"
60.0,1.0,1.0,1700,"(-22.9126254, -43.242544)",0.0,"[(61.69458354354667, (42.89424685662345, 46.099187990580226))]"
47.0,1.0,2.0,1300,"(-22.9548472, -43.3765899)",0.0,"[(34.371152677812084, (23.81103482822584, 25.77489669212802))]"
150.0,1.0,4.0,9000,"(-23.014923800000002, -43.407209)",0.0,
77.0,2.0,3.0,2400,"(-22.928182500000002, -43.1748537)",0.0,"[(68.25134636576706, (47.96591131462101, 50.44119567706774))]"
72.0,2.0,2.0,2200,"(-27.5660564, -53.9719817)",0.0,
71.0,1.0,1.0,1300,"(-23.016231, -43.470005900000004)",0.0,"[(10.756370277131383, (7.478556065182845, 8.03733337711519))]"
47.0,1.0,1.0,2600,"(-22.98165, -43.2133493)",0.0,"[(57.24367170473368, (39.79967193309951, 42.77339486901532))]"
25.0,1.0,1.0,1490,"(-22.9676704, -43.1844375)",0.0,"[(59.59276406410721, (41.432919809403806, 44.528674572063466))]"
105.0,3.0,3.0,2000,"(-22.9279379, -43.236188)",0.0,"[(59.84322994872867, (41.175038565776816, 45.1753565679233))]"
185.0,3.0,3.0,6900,"(-22.9607126, -43.2154771)",0.0,"[(57.308257340234874, (37.90854281316822, 44.80582399886054))]"
54.0,2.0,1.0,1600,"(-22.8090079, -43.2082471)",0.0,"[(80.98526574975592, (56.81983401248116, 59.956659330434))]"
45.0,1.0,1.0,2000,"(-22.968132699999998, -43.1830609)",0.0,"[(59.71640050407423, (41.51888022394614, 44.621057714329154))]"
110.0,2.0,2.0,2200,"(-22.9862128, -43.1921237)",0.0,"[(57.00122607356774, (40.143513591268835, 42.03432973088978))]"
70.0,2.0,2.0,3500,"(-22.9500463, -43.191054799999996)",0.0,"[(62.577628687320875, (44.52749473292774, 45.63727227925177))]"
88.0,2.0,3.0,2200,"(-22.922655, -43.2302143)",0.0,"[(60.833651580002176, (41.77676146757314, 46.00680484831453))]"
260.0,4.0,4.0,17800,"(-22.9855992, -43.1969718)",0.0,"[(56.75033805388127, (39.713711518557176, 42.126712873155476))]"
230.0,6.0,4.0,15000,"(-23.014923800000002, -43.407209)",0.0,
109.0,2.0,2.0,1950,"(-22.9148218, -43.250558399999996)",0.0,"[(59.283963038547675, (41.34695939486148, 44.159142003000696))]"
90.0,3.0,2.0,3200,"(-22.9719642, -43.1843432)",0.0,"[(60.34484264265825, (42.722326027538784, 44.251525145266385))]"
62.0,2.0,1.0,2100,"(-22.9857245, -43.19650410000001)",0.0,"[(56.75033805388127, (39.713711518557176, 42.126712873155476))]"
95.0,2.0,3.0,3500,"(-22.94884465, -43.179829096252966)",0.0,"[(64.42644943155626, (43.92577183113142, 49.05544854308236))]"
72.0,1.0,3.0,3000,"(-22.980819399999998, -43.1910909)",0.0,"[(57.98667660954411, (40.573315663980495, 43.050544295812394))]"
50.0,1.0,1.0,2950,"(-23.014923800000002, -43.407209)",0.0,
220.0,5.0,4.0,10000,"(-22.9766415, -43.188297)",0.0,"[(58.727829556514855, (41.003117736692154, 43.69722629167224))]"
80.0,1.0,2.0,800,"(-22.9047924, -43.26502070000001)",0.0,"[(58.294614221867306, (40.48735524943816, 43.60484314940654))]"
48.0,1.0,1.0,800,"(-22.899509899999998, -43.191691399999996)",0.0,"[(69.91643413035837, (48.65359463095966, 52.196475380115885))]"
35.0,1.0,1.0,500,"(-22.8830403, -43.2638849)",0.0,"[(61.8187145272954, (43.15212810025044, 46.00680484831453))]"
147.0,4.0,3.0,4500,"(-22.959020300000002, -43.2035583)",0.0,"[(60.6575671333671, (43.06616768570811, 44.34390828753208))]"
62.0,3.0,2.0,2000,"(-23.0063466, -43.4358159)",0.0,"[(18.23501274789193, (13.667705912230717, 12.471724205868398))]"
55.0,1.0,2.0,1100,"(-22.851846600000002, -43.3647403)",0.0,"[(51.80366834618448, (36.01741369323692, 38.708536609324874))]"
56.0,,2.0,1950,"(-22.9506576, -43.1759883)",0.0,"[(64.79304441974865, (44.35557390384308, 49.14783168534805))]"
180.0,1.0,2.0,2700,"(-22.9454515, -43.33619829999999)",0.0,"[(41.54257975359294, (28.71077845713874, 31.22550208580384))]"
167.0,3.0,3.0,5000,"(-23.014923800000002, -43.407209)",0.0,
230.0,3.0,3.0,8000,"(-23.0248278, -43.45716289999999)",0.0,"[(11.341242814238793, (8.424120625148491, 7.852567092583806))]"
300.0,6.0,4.0,11000,"(-22.9766415, -43.188297)",0.0,"[(58.727829556514855, (41.003117736692154, 43.69722629167224))]"
80.0,1.0,2.0,1550,"(-22.9224084, -43.218733)",0.0,"[(62.684162779097434, (43.410009343877434, 47.023019413237144))]"
90.0,1.0,2.0,2600,"(-22.9654545, -43.18084520000001)",0.0,"[(60.08730982397531, (41.77676146757314, 44.89820714112623))]"
65.0,1.0,2.0,1000,"(-22.940716199999997, -43.3343039)",0.0,"[(42.28818110301173, (28.968659700765734, 32.05695036619507))]"
70.0,2.0,2.0,1600,"(-22.922417199999998, -43.2216417)",0.0,"[(62.190235384989755, (42.980207271165774, 46.74586998644007))]"
79.0,1.0,2.0,3000,"(-22.9719642, -43.1843432)",0.0,"[(60.34484264265825, (42.722326027538784, 44.251525145266385))]"
75.0,1.0,2.0,5000,"(-22.9375718, -43.3373098)",0.0,"[(42.03638958878932, (29.226540944392728, 31.410268370335224))]"
75.0,2.0,2.0,1200,"(-22.814759600000002, -43.203699799999995)",0.0,"[(80.87184194417756, (57.24963608519281, 59.30997733457416))]"
119.0,2.0,3.0,1700,"(-22.9195363, -43.225013399999995)",0.0,"[(62.071526619520014, (42.55040519845412, 47.023019413237144))]"
325.0,2.0,4.0,19000,"(-22.984189699999998, -43.2223282)",0.0,"[(51.51093829358693, (36.705097009575574, 37.50755575987088))]"
110.0,1.0,3.0,5000,"(-22.9530993, -43.177193700000004)",0.0,"[(64.1716001686416, (44.09769266021609, 48.50114968948821))]"
77.0,2.0,2.0,2000,"(-22.9731137, -43.3709498)",0.0,"[(33.89893843726772, (24.41275773002216, 24.389149558142645))]"
300.0,,3.0,25000,"(-22.9862375, -43.209178200000004)",0.0,"[(52.34554281628704, (37.90854281316822, 37.415172617605194))]"
82.0,,2.0,14000,"(-22.9855992, -43.1969718)",0.0,"[(56.75033805388127, (39.713711518557176, 42.126712873155476))]"
140.0,,3.0,11000,"(-22.9804456, -43.2221655)",0.0,"[(53.44312935674017, (38.424305300422205, 38.523770324793496))]"
60.0,1.0,2.0,1000,"(-22.917668799999998, -43.363978700000004)",0.0,"[(42.16002602875634, (29.31250135893506, 31.502651512600913))]"
90.0,,2.0,3400,"(-22.968132699999998, -43.1830609)",0.0,"[(59.71640050407423, (41.51888022394614, 44.621057714329154))]"
57.0,,2.0,1350,"(-22.9548472, -43.3765899)",0.0,"[(34.371152677812084, (23.81103482822584, 25.77489669212802))]"
104.0,1.0,3.0,1600,"(-22.9179391, -43.2118402)",0.0,"[(63.921115593120554, (44.18365307475842, 48.03923397815975))]"
93.0,1.0,2.0,2200,"(-23.0013982, -43.3767102)",0.0,
110.0,1.0,,10000,"(-22.9363319, -43.1933919)",0.0,"[(64.60077933093189, (45.129217634724064, 48.03923397815975))]"
212.0,2.0,4.0,9000,"(-22.9862574, -43.1922967)",0.0,"[(57.00122607356774, (40.143513591268835, 42.03432973088978))]"
50.0,1.0,2.0,810,"(-22.8472129, -43.340518599999996)",0.0,"[(55.76496869887016, (38.25238447133754, 42.219096015421165))]"
200.0,4.0,4.0,14000,"(-22.9869482, -43.2307504)",0.0,"[(50.44366750654718, (35.07184913327127, 37.69232204440227))]"
140.0,2.0,3.0,8000,"(-22.98698730000001, -43.1909986)",0.0,"[(57.12659136639683, (40.3154344203535, 42.03432973088978))]"
150.0,2.0,3.0,9500,"(-22.9837378, -43.21888660000001)",0.0,"[(53.462575389373015, (38.76814695859153, 38.154237755730726))]"
180.0,4.0,3.0,4300,"(-23.0080982, -43.3146633)",0.0,"[(38.69820570967958, (26.905609751749775, 28.915923529161542))]"
80.0,1.0,2.0,1200,"(-22.9362315, -43.3419326)",0.0,"[(42.41018245940021, (29.82826384618905, 31.31788522806953))]"
95.0,1.0,2.0,3690,"(-22.9775074, -43.194117299999995)",1.0,0
63.0,2.0,2.0,2500,"(-22.9358536, -43.1816344)",0.0,"[(66.70532544667755, (46.848425925570695, 49.33259796987944))]"
80.0,3.0,3.0,1800,"(-23.020068300000002, -43.4642256)",0.0,"[(11.127279597032466, (7.7364373088098395, 8.314482803912265))]"
60.0,2.0,1.0,1700,"(-23.001908, -43.3501969)",0.0,"[(33.83439433412956, (25.100441046360814, 23.465318135485724))]"
89.0,2.0,3.0,1050,"(-22.9159818, -43.2477179)",0.0,"[(59.22508107699003, (41.60484063848847, 43.789609433937926))]"
60.0,1.0,1.0,1000,"(-22.941772399999998, -43.3414423)",0.0,"[(41.48007167315949, (28.882699286223403, 30.948352659006762))]"
72.0,1.0,2.0,800,"(-22.8650819, -43.5122514)",0.0,"[(27.83165837110577, (18.73937037022828, 21.432889005640504))]"
50.0,1.0,2.0,800,"(-22.9032923, -43.314895)",1.0,0
50.0,,2.0,1000,"(-22.8803759, -43.259833799999996)",0.0,"[(62.81035366480961, (43.23808851479277, 47.392551982299906))]"
70.0,1.0,1.0,2000,"(-23.000417300000002, -43.332459)",0.0,"[(36.101840470372, (25.100441046360814, 26.975877541582015))]"
52.0,2.0,1.0,1800,"(-23.005536, -43.428404)",0.0,"[(19.26547742141726, (14.699230886738695, 12.841256774931164))]"
49.0,1.0,1.0,1700,"(-22.9690461, -43.18946629999999)",0.0,"[(59.96826177736338, (42.20656354028479, 44.251525145266385))]"
75.0,1.0,2.0,1400,"(-22.94624115, -43.557178065955135)",0.0,"[(9.232256752730006, (7.220674821555851, 5.912521105004277))]"
86.0,2.0,3.0,2400,"(-23.0147819, -43.4610052)",0.0,"[(11.745461796867604, (8.166239381521498, 8.776398515240723))]"
60.0,1.0,2.0,1200,"(-22.8694038, -43.307342299999995)",1.0,0
68.0,1.0,2.0,1200,"(-22.8997237, -43.285844899999994)",0.0,"[(56.15054786273419, (37.994503227710545, 43.050544295812394))]"
52.0,1.0,2.0,1100,"(-22.8050047, -43.1805463)",0.0,"[(85.6801421008842, (59.6565276923781, 63.92913444785875))]"
70.0,2.0,2.0,1800,"(-23.0185151, -43.4634021)",0.0,"[(11.374552476966521, (7.908358137894503, 8.499249088443648))]"
69.0,2.0,2.0,1500,"(-12.8640352, -38.6313039734052)",0.0,
76.0,2.0,2.0,1200,"(-22.90182080000001, -43.269192)",0.0,"[(58.11241489466448, (39.97159276218417, 43.88199257620362))]"
50.0,1.0,2.0,1100,"(-22.948937, -43.3408375)",0.0,"[(40.98664533438346, (28.28097638442708, 30.855969516741073))]"
92.0,1.0,2.0,3000,"(-22.818475399999997, -43.1960515)",0.0,"[(82.09692359833561, (56.6479131833965, 61.804322175747835))]"
66.0,2.0,2.0,1650,"(-22.9709611, -43.395351399999996)",0.0,"[(29.98954704554505, (21.318182806498225, 21.894804716968963))]"
85.0,2.0,2.0,2600,"(-22.933692699999998, -43.178712899999994)",0.0,"[(67.57209344917375, (47.53610924190935, 49.88689682347359))]"
194.0,,3.0,3400,"(-23.0185151, -43.4634021)",0.0,"[(11.374552476966521, (7.908358137894503, 8.499249088443648))]"
90.0,2.0,2.0,1700,"(-22.896617499999998, -43.2867313)",0.0,"[(54.770942905393134, (38.08046364225288, 40.92573202370148))]"
80.0,2.0,2.0,1700,"(-30.0342118, -51.2393593)",0.0,
94.0,1.0,2.0,800,"(-22.8974155, -43.30709210000001)",0.0,"[(53.28859647785643, (36.7910574241179, 40.09428374331026))]"
100.0,1.0,2.0,2400,"(-23.013892000000002, -43.4634254)",0.0,"[(15.207282115944372, (10.573130988706781, 11.363126498680096))]"
60.0,2.0,2.0,1200,"(-22.9009367, -43.284310999999995)",0.0,"[(56.0209520491448, (38.08046364225288, 42.77339486901532))]"
70.0,2.0,2.0,1450,"(-22.9207621, -43.222878)",0.0,"[(62.315832047897516, (42.89424685662345, 47.023019413237144))]"
100.0,2.0,2.0,1200,"(-22.955850299999998, -43.391672899999996)",1.0,0
60.0,2.0,2.0,1150,"(-22.865931699999997, -43.253318)",0.0,"[(65.65141529481352, (45.81690095106272, 48.87068225855098))]"
148.0,3.0,3.0,4500,"(-22.9427792, -43.1928084)",0.0,"[(64.23415793068904, (45.2151780492664, 47.392551982299906))]"
60.0,2.0,2.0,1300,"(-22.9312854, -43.36198529999999)",0.0,"[(40.12007239501941, (27.937134726257757, 29.932138094084152))]"
180.0,3.0,4.0,4300,"(-22.9674748, -43.18745360000001)",0.0,"[(60.46277000719815, (42.55040519845412, 44.621057714329154))]"
104.0,1.0,2.0,4800,"(-23.014923800000002, -43.407209)",0.0,
300.0,5.0,4.0,5000,"(-22.9387029, -43.17358170000001)",0.0,"[(66.80945316356322, (48.13783214370567, 48.03923397815975))]"
130.0,2.0,3.0,3000,"(-22.9654545, -43.18084520000001)",0.0,"[(60.08730982397531, (41.77676146757314, 44.89820714112623))]"
44.0,1.0,2.0,1200,"(-22.8676979, -43.3060881)",0.0,"[(57.67643237334402, (40.143513591268835, 43.050544295812394))]"
144.0,3.0,3.0,4000,"(-22.98682130000001, -43.3571161)",0.0,"[(34.68194973298687, (22.6075890246332, 27.437793252910474))]"
44.0,1.0,1.0,1150,"(-22.8049732, -43.219866107721046)",0.0,"[(79.99287220454472, (55.53042779434618, 59.864276188168304))]"
45.0,1.0,1.0,2000,"(-22.9665038, -43.371319299999996)",0.0,"[(34.31852276344253, (24.41275773002216, 25.035831554002485))]"
90.0,3.0,2.0,2950,"(-22.9637013, -43.213905600000004)",0.0,"[(57.17353248106395, (37.994503227710545, 44.528674572063466))]"
98.0,2.0,2.0,4200,"(-22.955651, -43.1737289)",0.0,"[(64.29201870468198, (44.441534318385415, 48.31638340495683))]"
90.0,2.0,2.0,5000,"(-23.0143229, -43.2972041)",0.0,"[(37.48713131900061, (28.28097638442708, 25.405364123065254))]"
230.0,3.0,4.0,6800,"(-22.988339899999996, -43.3529408)",0.0,"[(34.7418396307347, (24.154876486395167, 25.959662976659406))]"
187.0,,4.0,15000,"(-22.9805083, -43.213479299999996)",0.0,"[(55.95781721705208, (38.08046364225288, 42.681011726749624))]"
100.0,2.0,3.0,1800,"(-23.008528, -43.4381613)",0.0,"[(17.476525751359755, (12.980022595892065, 12.10219163680563))]"
90.0,2.0,2.0,10000,"(-22.9855992, -43.1969718)",0.0,"[(56.75033805388127, (39.713711518557176, 42.126712873155476))]"
48.0,1.0,1.0,1000,"(-22.7952275, -43.186028)",0.0,"[(86.36007544231296, (60.08632976508976, 64.4834333014529))]"
120.0,2.0,3.0,9000,"(-22.9813398, -43.20901170000001)",0.0,"[(56.137615359069805, (38.424305300422205, 42.588628584483935))]"
157.0,3.0,3.0,3890,"(-22.9690461, -43.18946629999999)",0.0,"[(59.96826177736338, (42.20656354028479, 44.251525145266385))]"
91.0,1.0,3.0,1800,"(-22.91525, -43.2102423)",0.0,"[(65.53022907142051, (45.129217634724064, 49.42498111214513))]"
650.0,,4.0,20000,"(-22.9997388, -43.2684256)",0.0,"[(45.869119227767165, (31.891313795205008, 34.27414578057167))]"
100.0,3.0,3.0,3300,"(-22.9494286, -43.1873596)",0.0,"[(63.28700465923299, (46.50458426740137, 44.43629142979777))]"
430.0,3.0,4.0,15000,"(-22.9766415, -43.188297)",0.0,"[(58.727829556514855, (41.003117736692154, 43.69722629167224))]"
77.0,2.0,2.0,1100,"(-22.937735600000003, -43.3446284)",0.0,"[(41.29457094898715, (28.71077845713874, 30.855969516741073))]"
65.0,1.0,1.0,2900,"(-23.0143229, -43.2972041)",0.0,"[(37.48713131900061, (28.28097638442708, 25.405364123065254))]"
113.0,2.0,2.0,8000,"(-22.9803652, -43.2139765)",0.0,"[(55.897345789287655, (37.994503227710545, 42.681011726749624))]"
60.0,1.0,2.0,900,"(-22.969351, -43.4257664)",0.0,"[(30.290927791921714, (21.06030156287123, 22.6338698550945))]"
90.0,3.0,3.0,2500,"(-22.9709611, -43.395351399999996)",0.0,"[(29.98954704554505, (21.318182806498225, 21.894804716968963))]"
45.0,1.0,1.0,2700,"(-22.9832566, -43.2265394)",0.0,"[(51.06184970638232, (35.50165120598293, 38.154237755730726))]"
200.0,1.0,3.0,3950,"(-22.930774600000003, -43.1868679)",0.0,"[(66.64004114222777, (46.33266343831671, 49.794513681207896))]"
66.0,1.0,2.0,900,"(-22.8903071, -43.27874620000001)",0.0,"[(58.488399916622825, (41.34695939486148, 42.958161153546705))]"
90.0,3.0,3.0,1450,"(-22.93048030000001, -43.3555556)",0.0,"[(41.232799069472335, (28.71077845713874, 30.76358637447538))]"
90.0,2.0,2.0,1100,"(-22.897830499999998, -43.25527320000001)",0.0,"[(60.4593568918209, (42.292523954827125, 44.89820714112623))]"
101.0,3.0,3.0,2300,"(-23.0166029, -43.4654138)",0.0,"[(14.836372796043289, (10.315249745079786, 11.08597707188302))]"
95.0,3.0,3.0,4200,"(-22.977000600000004, -43.19617720000001)",0.0,"[(57.67643237334402, (40.0575531767265, 43.14292743807808))]"
70.0,1.0,3.0,1100,"(-22.8810956, -43.314291409690775)",0.0,"[(54.70915961094649, (38.08046364225288, 40.83334888143579))]"
205.0,4.0,4.0,9000,"(-22.9840518, -43.221537899999994)",0.0,"[(51.57433000782678, (36.7910574241179, 37.50755575987088))]"
380.0,5.0,5.0,9000,"(-22.9865648, -43.2324401)",0.0,"[(50.19639462661312, (34.89992830418661, 37.50755575987088))]"
140.0,1.0,3.0,3500,"(-22.9997404, -43.3659929)",0.0,"[(33.75274811099848, (23.467193170056515, 25.22059783853387))]"
82.0,2.0,3.0,1500,"(-22.862638600000004, -43.2564534)",0.0,"[(65.77458606245858, (45.730940536520386, 49.14783168534805))]"
60.0,1.0,2.0,1000,"(-22.839500199999996, -43.3039265)",0.0,"[(62.80731150324992, (43.66789058750443, 46.93063627097145))]"
150.0,4.0,4.0,1700,"(-22.9294089, -43.3756395)",0.0,"[(38.328094035929816, (26.47580767903812, 28.82354038689585))]"
90.0,1.0,2.0,3000,"(-22.9763665, -43.22726110000001)",0.0,"[(53.29892216891941, (37.82258239862588, 38.985686036121955))]"
160.0,2.0,3.0,3500,"(-22.961944, -43.1688829)",0.0,"[(64.04415326191324, (44.699415562012405, 47.66970140909699))]"
220.0,2.0,3.0,10000,"(-22.981749100000002, -43.1906689)",0.0,"[(57.86396730939099, (40.573315663980495, 42.86577801128101))]"
25.0,1.0,1.0,700,"(-22.9132523, -43.2033378)",0.0,"[(66.26959315072081, (45.90286136560505, 49.70213053894221))]"
80.0,1.0,2.0,1400,"(-22.8903071, -43.27874620000001)",0.0,"[(58.488399916622825, (41.34695939486148, 42.958161153546705))]"
60.0,1.0,1.0,4300,"(-22.983234799999998, -43.228120000000004)",0.0,"[(50.81457682644827, (35.32973037689827, 37.96947147119934))]"
90.0,2.0,3.0,2900,"(-22.9373944, -43.177594)",0.0,"[(67.63828611165299, (47.79399048553634, 49.70213053894221))]"
70.0,2.0,2.0,2400,"(-22.9641285, -43.2174013)",0.0,"[(56.59322145813587, (41.51888022394614, 39.817134316513176))]"
67.0,2.0,3.0,1400,"(-22.9548472, -43.3765899)",0.0,"[(34.371152677812084, (23.81103482822584, 25.77489669212802))]"
78.0,3.0,3.0,2282,"(-22.9408899, -43.3422564)",1.0,0
61.0,2.0,2.0,2500,"(-22.981271300000003, -43.2004164)",0.0,"[(56.74966466317987, (39.28390944584552, 42.588628584483935))]"
83.0,2.0,3.0,2200,"(-23.018515100000002, -43.4634021)",0.0,"[(11.374552476966521, (7.908358137894503, 8.499249088443648))]"
325.0,,4.0,19000,"(-22.984189699999998, -43.2223282)",0.0,"[(51.51093829358693, (36.705097009575574, 37.50755575987088))]"
85.0,1.0,2.0,2500,"(-22.9654545, -43.18084520000001)",0.0,"[(60.08730982397531, (41.77676146757314, 44.89820714112623))]"
650.0,5.0,4.0,20000,"(-22.9913592, -43.2675329)",0.0,"[(45.19499580785061, (33.09475959879765, 31.872184081663683))]"
96.0,3.0,3.0,2000,"(-23.0185151, -43.4634021)",0.0,"[(11.374552476966521, (7.908358137894503, 8.499249088443648))]"
170.0,2.0,4.0,10000,"(-22.9758762, -43.2187075)",0.0,"[(52.17457766608557, (36.275294936863915, 38.985686036121955))]"
132.0,,3.0,2500,"(-23.0057316, -43.372155299999996)",0.0,"[(32.88729303122929, (22.865470268260193, 24.573915842674026))]"
75.0,2.0,2.0,800,"(-22.9104372, -43.20427670000001)",0.0,"[(66.51927723410056, (45.81690095106272, 50.164046250270665))]"
62.0,1.0,1.0,2700,"(-22.988001899999997, -43.3660133)",0.0,"[(34.370930310833614, (23.89699524276817, 25.68251354986233))]"
70.0,2.0,1.0,1350,"(-22.9332164, -43.2381453)",0.0,"[(57.61458102463477, (40.0575531767265, 43.050544295812394))]"
389.0,3.0,4.0,9500,"(-22.9766415, -43.188297)",0.0,"[(58.727829556514855, (41.003117736692154, 43.69722629167224))]"
60.0,1.0,2.0,650,"(-22.9137159, -43.271651500000004)",1.0,0
200.0,6.0,4.0,4999,"(-23.014309, -43.45027260000001)",0.0,
105.0,2.0,3.0,3000,"(-27.5660564, -53.9719817)",0.0,
71.0,2.0,3.0,1500,"(-22.9294089, -43.3756395)",0.0,"[(38.328094035929816, (26.47580767903812, 28.82354038689585))]"
230.0,,3.0,9500,"(-22.9997388, -43.2684256)",0.0,"[(45.869119227767165, (31.891313795205008, 34.27414578057167))]"
65.0,1.0,2.0,1500,"(-22.925264499999997, -43.24297720000001)",0.0,"[(57.61458102463477, (40.0575531767265, 43.050544295812394))]"
110.0,2.0,2.0,8500,"(-22.9862375, -43.209178200000004)",0.0,"[(52.34554281628704, (37.90854281316822, 37.415172617605194))]"
167.0,3.0,3.0,6800,"(-23.000417300000002, -43.332459)",0.0,"[(36.101840470372, (25.100441046360814, 26.975877541582015))]"
51.0,2.0,2.0,1200,"(-22.9912255, -43.492756799999995)",0.0,"[(11.931076606572264, (8.33816021060616, 8.868781657506416))]"
130.0,3.0,3.0,7500,"(-22.983556, -43.22493770000001)",0.0,"[(51.18548614634934, (35.587611620525266, 38.246620897996415))]"
100.0,2.0,3.0,3500,"(-22.968132699999998, -43.1830609)",0.0,"[(59.71640050407423, (41.51888022394614, 44.621057714329154))]"
330.0,5.0,3.0,42000,"(-22.9862375, -43.209178200000004)",0.0,"[(52.34554281628704, (37.90854281316822, 37.415172617605194))]"
180.0,3.0,4.0,4200,"(-22.934022100000004, -43.176146)",0.0,"[(66.88731402216183, (46.50458426740137, 49.97927996573928))]"
320.0,6.0,3.0,15000,"(-22.9758762, -43.2187075)",0.0,"[(52.17457766608557, (36.275294936863915, 38.985686036121955))]"
81.0,1.0,2.0,1100,"(-22.908549, -43.1915154)",0.0,"[(67.75276910193101, (47.10630716919769, 50.625961961599124))]"
63.0,1.0,2.0,900,"(-22.8931641, -43.2827591)",0.0,"[(57.495730312186616, (40.48735524943816, 42.40386229995255))]"
389.0,4.0,4.0,9400,"(-22.9766415, -43.188297)",0.0,"[(58.727829556514855, (41.003117736692154, 43.69722629167224))]"
25.0,1.0,1.0,1150,"(-22.9339841, -43.1745744)",0.0,"[(67.38911877832768, (47.53610924190935, 49.60974739667651))]"
55.0,1.0,2.0,800,"(-22.8973512, -43.5483958)",0.0,"[(18.421829555087083, (12.808101766807402, 13.765088197588083))]"
105.0,4.0,3.0,2800,"(-23.0091645, -43.4215641)",0.0,
