,areas,bathrooms,bedrooms,r$_pmo,coord,class,class_distance,lat,long
0,450.0,7.0,4.0,5000,"(-23.0197394, -43.4600439)",0.0,0.0,-23.0197394,-43.4600439
1,56.0,2.0,2.0,1300,"(-22.8871743, -43.3041246)",0.0,55.762227489584866,-22.8871743,-43.3041246
2,61.0,2.0,2.0,1380,"(-22.9548472, -43.3765899)",0.0,34.371152677812084,-22.9548472,-43.3765899
3,97.0,3.0,2.0,2950,"(-23.0056458, -43.330188299999996)",0.0,36.596386230240114,-23.0056458,-43.330188299999996
4,65.0,2.0,2.0,2400,"(-23.004933800000003, -43.3312167)",0.0,35.60729471050389,-23.004933800000003,-43.3312167
5,95.0,2.0,3.0,2650,"(-22.937735600000003, -43.3446284)",0.0,41.29457094898715,-22.937735600000003,-43.3446284
6,130.0,3.0,3.0,7300,"(-22.9821776, -43.2133851)",0.0,57.24367170473368,-22.9821776,-43.2133851
7,70.0,2.0,2.0,1500,"(-22.9451467, -43.3374151)",0.0,41.66841515519541,-22.9451467,-43.3374151
8,64.0,2.0,2.0,1650,"(-22.9709611, -43.395351399999996)",0.0,29.98954704554505,-22.9709611,-43.395351399999996
9,65.0,2.0,2.0,1900,"(-22.9408899, -43.3422564)",1.0,0.0,-22.9408899,-43.3422564
10,54.0,2.0,2.0,1700,"(-22.928988, -43.3534191)",1.0,0.0,-22.928988,-43.3534191
11,400.0,4.0,5.0,3500,"(-23.016643600000002, -43.4687359)",0.0,10.88000671709841,-23.016643600000002,-43.4687359
12,77.0,2.0,2.0,2300,"(-22.937735600000003, -43.3446284)",0.0,41.29457094898715,-22.937735600000003,-43.3446284
13,67.0,2.0,3.0,1800,"(-22.9665038, -43.371319299999996)",0.0,34.31852276344253,-22.9665038,-43.371319299999996
14,66.0,2.0,2.0,1700,"(-22.9408899, -43.3422564)",1.0,0.0,-22.9408899,-43.3422564
15,70.0,2.0,2.0,2300,"(-22.822127300000002, -43.1718358)",0.0,84.07359735592078,-22.822127300000002,-43.1718358
16,90.0,2.0,2.0,1500,"(-22.8395223, -43.32898460000001)",0.0,58.54188696335408,-22.8395223,-43.32898460000001
17,70.0,2.0,2.0,2600,"(-22.9219495, -43.2345965)",0.0,60.34268946682186,-22.9219495,-43.2345965
18,74.0,2.0,2.0,1000,"(-22.9149163, -43.346668)",1.0,0.0,-22.9149163,-43.346668
19,69.0,2.0,2.0,1700,"(-23.0066417, -43.4845412)",0.0,0.0,-23.0066417,-43.4845412
20,70.0,3.0,1.0,2650,"(-22.9859524, -43.1911156)",0.0,57.25021364793695,-22.9859524,-43.1911156
21,65.0,2.0,2.0,2300,"(-22.9323641, -43.1821872)",0.0,66.88834241347945,-22.9323641,-43.1821872
22,141.0,2.0,3.0,3000,"(-22.8163695, -43.2068501)",0.0,80.13510902077395,-22.8163695,-43.2068501
23,65.0,2.0,2.0,1200,"(-22.93048030000001, -43.3555556)",0.0,41.232799069472335,-22.93048030000001,-43.3555556
24,140.0,4.0,3.0,7500,"(-22.9877577, -43.2286995)",0.0,50.56730394651421,-22.9877577,-43.2286995
25,65.0,2.0,2.0,2200,"(-23.004933800000003, -43.3312167)",0.0,35.60729471050389,-23.004933800000003,-43.3312167
26,62.0,2.0,2.0,1300,"(-22.93048030000001, -43.3555556)",0.0,41.232799069472335,-22.93048030000001,-43.3555556
27,82.0,3.0,2.0,2200,"(-22.9920076, -43.4023471)",0.0,22.39850787458009,-22.9920076,-43.4023471
28,57.0,1.0,1.0,1600,"(-22.97579330000001, -43.1912304)",0.0,58.54188696335408,-22.97579330000001,-43.1912304
29,75.0,2.0,2.0,1500,"(-22.9454515, -43.33619829999999)",0.0,41.54257975359294,-22.9454515,-43.33619829999999
30,65.0,1.0,2.0,1900,"(-22.968515300000004, -43.1850961)",0.0,60.7156892851034,-22.968515300000004,-43.1850961
31,92.0,2.0,3.0,1900,"(-23.0217111, -43.486967799999995)",0.0,8.857496111725073,-23.0217111,-43.486967799999995
