price,coord,class
17750.0,"(18.938788, 72.838105)",0.0
66500.0,"(18.9304714, 72.83353309999998)",0.0
41550.0,"(18.9801254, 72.84028599999998)",0.0
8750.005000000001,"(19.160481, 72.9454193)",0.0
17900.0,"(19.1296654, 72.93163609999998)",0.0
14400.0,"(19.1300559, 72.9387868)",0.0
32002.25,"(18.9954087, 72.84805820000003)",0.0
85700.0,"(19.0111181, 72.83192829999999)",0.0
45450.0,"(19.0670561, 72.85186449999998)",0.0
28550.0,"(19.0372959, 72.87871)",0.0
6110.72,"(19.1631138, 72.93809040000002)",0.0
52550.0,"(18.9996394, 72.82537370000001)",0.0
21850.0,"(19.13679, 72.93067590000003)",0.0
30700.0,"(19.094047, 72.92266)",0.0
21000.0,"(19.160481, 72.9454193)",0.0
9399.75,"(19.1969201, 72.876083)",0.0
16699.0,"(19.2165676, 72.86559820000002)",0.0
21299.025,"(19.0305354, 72.8452449)",0.0
97500.0,"(19.0771337, 72.83458499999998)",0.0
29500.0,"(19.118376, 72.85688490000003)",0.0
31550.000000000004,"(19.0941527, 72.92052009999998)",0.0
17600.0,"(19.1731822, 72.8696033)",0.0
32100.0,"(19.1095788, 72.9018007)",0.0
26850.0,"(19.0168866, 72.85388)",1.0
10400.0,"(19.1840613, 72.8640314)",1.0
18700.0,"(19.160058, 72.9470533)",0.0
14500.0,"(19.2198888, 72.86189820000001)",0.0
25550.0,"(19.1985897, 72.85546409999998)",0.0
19900.0,"(19.0742111, 72.86198449999998)",0.0
8900.5,"(19.195301800000006, 72.8398395)",0.0
17400.0,"(19.2165676, 72.86559820000002)",0.0
31398.1,"(19.0357714, 72.85745159999998)",0.0
15698.240000000002,"(19.2198888, 72.86189820000001)",0.0
12998.25,"(19.160481, 72.9454193)",0.0
14550.0,"(19.0566712, 72.89973459999999)",0.0
26200.0,"(19.1419959, 72.8444071)",0.0
15149.999999999998,"(19.2067783, 72.84850689999998)",0.0
23601.645,"(19.1969201, 72.876083)",0.0
17350.0,"(19.130708, 72.9317038)",0.0
11450.0,"(19.0659804, 72.88390439999998)",0.0
20900.0,"(19.0855971, 72.90927940000002)",0.0
12600.0,"(19.116301, 72.9123412)",0.0
36450.0,"(19.1262732, 72.83264199999998)",0.0
11950.0,"(19.2037944, 72.8210831)",0.0
